name,category,brand,sku,store,base_size,size,unit_type,unit_value,old_price,current_price,discount,price_per_unit,date,link
grainmill oat flour 500 g,Wheat Flour,Grainmill,Wheat FlourGrainmill500g,Naivas,500g,500.0,kg,0.5,0.0,285.0,0.0,570.0,2026-04-20,https://www.naivas.online/grainmill-oat-flour-500-g
butterfly kamal gram flour 2 kg,Wheat Flour,Butterfly,Wheat FlourButterfly2kg,Naivas,2kg,2.0,kg,2.0,0.0,535.0,0.0,267.5,2026-04-20,https://www.naivas.online/butterfly-kamal-gram-flour-2-kg
butterfly gram flour 1 kg,Wheat Flour,Butterfly,Wheat FlourButterfly1kg,Naivas,1kg,1.0,kg,1.0,0.0,467.0,0.0,467.0,2026-04-20,https://www.naivas.online/butterfly-gram-flour-1-kg
rimwabi omena uji mix flour 1kg,Wheat Flour,Rimwabi,Wheat FlourRimwabi1kg,Naivas,1kg,1.0,kg,1.0,0.0,207.0,0.0,207.0,2026-04-20,https://www.naivas.online/rimwabi-omena-uji-mix-flour-1kg
live life w cassava flour 750 g,Wheat Flour,Live,Wheat FlourLive750g,Naivas,750g,750.0,kg,0.75,0.0,349.0,0.0,465.3333333333333,2026-04-20,https://www.naivas.online/live-life-w-cassava-flour-750-g
quick choice esl milk 500ml,Milk,Quick,MilkQuick500ml,Quickmart,500ml,500.0,litres,0.5,50.0,44.0,6.0,88.0,2026-04-20,https://www.quickmart.co.ke/quick-choice-esl-milk-500ml-28
pembe maize flour 2kg,Maize Meal,Pembe,Maize MealPembe2kg,Quickmart,2kg,2.0,kg,2.0,0.0,170.0,0.0,85.0,2026-04-20,https://www.quickmart.co.ke/pembe-maize-flour-2kg-31
brookside dairy best milk 500ml,Milk,Brookside,MilkBrookside500ml,Quickmart,500ml,500.0,litres,0.5,61.0,58.0,3.0,116.0,2026-04-20,https://www.quickmart.co.ke/brookside-dairy-best-milk-500ml-23
tuzo whole fino milk 500ml,Milk,Tuzo,MilkTuzo500ml,Quickmart,500ml,500.0,litres,0.5,60.0,53.0,7.0,106.0,2026-04-20,https://www.quickmart.co.ke/tuzo-whole-fino-milk-500ml-23
jogoo maize meal 2kg,Maize Meal,Jogoo,Maize MealJogoo2kg,Quickmart,2kg,2.0,kg,2.0,0.0,168.0,0.0,84.0,2026-04-20,https://www.quickmart.co.ke/jogoo-maize-meal-2kg-31
brookside uht whole milk 1ltr,Milk,Brookside,MilkBrookside1l,Quickmart,1l,1.0,litres,1.0,0.0,159.0,0.0,159.0,2026-04-20,https://www.quickmart.co.ke/brookside-uht-whole-milk-1ltr-23
